Id,SalePrice
1461,176822.11
1462,176822.11
1463,176822.11
1464,176822.11
1465,176822.11
1466,176822.11
1467,176822.11
1468,176822.11
1469,176822.11
1470,176822.11
1471,176822.11
1472,176822.11
1473,176822.11
1474,176822.11
1475,176822.11
1476,176822.11
1477,176822.11
1478,176822.11
1479,176822.11
1480,176822.11
1481,176822.11
1482,176822.11
1483,176822.11
1484,176822.11
1485,176822.11
1486,176822.11
1487,176822.11
1488,176822.11
1489,176822.11
1490,176822.11
1491,176822.11
1492,176822.11
1493,176822.11
1494,176822.11
1495,176822.11
1496,176822.11
1497,176822.11
1498,176822.11
1499,176822.11
1500,176822.11
1501,176822.11
1502,176822.11
1503,176822.11
1504,176822.11
1505,176822.11
1506,176822.11
1507,176822.11
1508,176822.11
1509,176822.11
1510,176822.11
1511,176822.11
1512,176822.11
1513,176822.11
1514,176822.11
1515,176822.11
1516,176822.11
1517,176822.11
1518,176822.11
1519,176822.11
1520,176822.11
1521,176822.11
1522,176822.11
1523,176822.11
1524,176822.11
1525,176822.11
1526,176822.11
1527,176822.11
1528,176822.11
1529,176822.11
1530,176822.11
1531,176822.11
1532,176822.11
1533,176822.11
1534,176822.11
1535,176822.11
1536,176822.11
1537,176822.11
1538,176822.11
1539,176822.11
1540,176822.11
1541,176822.11
1542,176822.11
1543,176822.11
1544,176822.11
1545,176822.11
1546,176822.11
1547,176822.11
1548,176822.11
1549,176822.11
1550,176822.11
1551,176822.11
1552,176822.11
1553,176822.11
1554,176822.11
1555,176822.11
1556,176822.11
1557,176822.11
1558,176822.11
1559,176822.11
1560,176822.11
1561,176822.11
1562,176822.11
1563,176822.11
1564,176822.11
1565,176822.11
1566,176822.11
1567,176822.11
1568,176822.11
1569,176822.11
1570,176822.11
1571,176822.11
1572,176822.11
1573,176822.11
1574,176822.11
1575,176822.11
1576,176822.11
1577,176822.11
1578,176822.11
1579,176822.11
1580,176822.11
1581,176822.11
1582,176822.11
1583,176822.11
1584,176822.11
1585,176822.11
1586,176822.11
1587,176822.11
1588,176822.11
1589,176822.11
1590,176822.11
1591,176822.11
1592,176822.11
1593,176822.11
1594,176822.11
1595,176822.11
1596,176822.11
1597,176822.11
1598,176822.11
1599,176822.11
1600,176822.11
1601,176822.11
1602,176822.11
1603,176822.11
1604,176822.11
1605,176822.11
1606,176822.11
1607,176822.11
1608,176822.11
1609,176822.11
1610,176822.11
1611,176822.11
1612,176822.11
1613,176822.11
1614,176822.11
1615,176822.11
1616,176822.11
1617,176822.11
1618,176822.11
1619,176822.11
1620,176822.11
1621,176822.11
1622,176822.11
1623,176822.11
1624,176822.11
1625,176822.11
1626,176822.11
1627,176822.11
1628,176822.11
1629,176822.11
1630,176822.11
1631,176822.11
1632,176822.11
1633,176822.11
1634,176822.11
1635,176822.11
1636,176822.11
1637,176822.11
1638,176822.11
1639,176822.11
1640,176822.11
1641,176822.11
1642,176822.11
1643,176822.11
1644,176822.11
1645,176822.11
1646,176822.11
1647,176822.11
1648,176822.11
1649,176822.11
1650,176822.11
1651,176822.11
1652,176822.11
1653,176822.11
1654,176822.11
1655,176822.11
1656,176822.11
1657,176822.11
1658,176822.11
1659,176822.11
1660,176822.11
1661,176822.11
1662,176822.11
1663,176822.11
1664,176822.11
1665,176822.11
1666,176822.11
1667,176822.11
1668,176822.11
1669,176822.11
1670,176822.11
1671,176822.11
1672,176822.11
1673,176822.11
1674,176822.11
1675,176822.11
1676,176822.11
1677,176822.11
1678,176822.11
1679,176822.11
1680,176822.11
1681,176822.11
1682,176822.11
1683,176822.11
1684,176822.11
1685,176822.11
1686,176822.11
1687,176822.11
1688,176822.11
1689,176822.11
1690,176822.11
1691,176822.11
1692,176822.11
1693,176822.11
1694,176822.11
1695,176822.11
1696,176822.11
1697,176822.11
1698,176822.11
1699,176822.11
1700,176822.11
